gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalExperience,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redKills,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalExperience,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin,champions
4519157822,0,28,2,1,9,11,0,0,0,0,6.6,17039,36,643,-8,19.5,1721.0,15,6,6,8,0,0,0,0,6.8,17047,55,19.7,1656.7,"['111', '91', '236', '76', '54', '26', '235', '82', '421', '69']"
4523371949,0,12,1,0,5,5,0,0,0,0,6.6,16265,43,-2908,-1173,17.4,1471.2,12,1,5,2,2,1,1,1,6.8,17438,52,24.0,1762.0,"['4', '350', '75', '145', '875', '110', '59', '53', '134', '39']"
4521474530,0,15,0,0,7,4,1,1,0,0,6.4,16221,46,-1172,-1033,18.6,1611.3,15,3,11,14,0,0,0,0,6.8,17254,28,20.3,1728.5,"['421', '84', '236', '43', '45', '145', '154', '92', '134', '223']"
4524384067,0,43,1,0,4,5,1,0,1,0,7.0,17954,55,-1321,-7,20.1,1515.7,15,2,5,10,0,0,0,0,7.0,17961,47,23.5,1647.8,"['64', '134', '516', '432', '429', '110', '412', '58', '245', '238']"
4436033771,0,75,4,0,6,6,0,0,0,0,7.0,18543,57,-1004,230,21.0,1640.0,17,2,6,7,1,1,0,0,7.0,18313,67,22.5,1740.4,"['101', '266', '245', '143', '21', '51', '86', '69', '235', '32']"
4475365709,1,18,0,0,5,6,1,1,0,0,7.0,18161,42,698,101,22.5,1589.9,36,5,3,2,0,0,0,0,7.0,18060,59,22.1,1520.1,"['18', '121', '69', '875', '350', '134', '432', '21', '56', '429']"
4493010632,1,18,3,1,7,7,1,1,0,0,6.8,16967,53,2411,1563,22.5,1687.4,57,1,6,9,0,0,0,0,6.4,15404,35,16.4,1446.3,"['62', '112', '429', '44', '141', '246', '113', '99', '98', '523']"
4496759358,0,16,2,0,5,3,0,0,0,0,6.4,16138,48,-2615,-800,20.9,1530.5,15,0,13,11,1,1,0,0,6.6,16938,54,15.7,1792.0,"['875', '59', '84', '21', '39', '245', '121', '517', '96', '117']"
4443048030,0,16,3,0,7,8,0,0,0,0,7.2,18527,61,-1979,-771,18.9,1640.1,15,2,7,5,2,1,1,0,7.2,19298,53,24.0,1838.0,"['30', '41', '89', '498', '157', '119', '59', '115', '350', '429']"
4509433346,1,13,1,1,4,5,1,1,0,0,6.8,16805,39,-1548,-1574,22.0,1505.7,16,2,5,4,0,0,0,0,6.8,18379,43,24.7,1660.5,"['498', '79', '555', '126', '497', '164', '68', '122', '412', '429']"
4452162573,0,20,3,1,4,6,0,0,0,0,6.6,16611,28,331,-1585,23.1,1547.4,15,2,4,5,1,1,0,0,7.2,18196,51,21.6,1514.3,"['497', '59', '268', '85', '202', '21', '875', '80', '412', '245']"
4453038156,0,33,2,1,11,7,1,0,1,0,7.0,18507,40,-1505,-635,15.7,1669.5,17,1,11,9,0,0,0,0,7.0,19142,52,18.8,1820.0,"['235', '157', '516', '76', '523', '134', '99', '517', '164', '60']"
4515594785,1,18,1,1,7,11,1,1,0,0,7.4,19102,53,3274,1659,23.8,1786.5,12,1,1,1,0,0,0,0,6.8,17443,50,24.0,1459.1,"['201', '64', '80', '81', '4', '497', '154', '18', '126', '134']"
4524924257,0,14,3,0,4,1,1,0,1,0,6.6,17213,52,-3414,-1141,21.0,1497.9,20,3,9,11,0,0,0,0,7.2,18354,51,22.9,1839.3,"['11', '555', '18', '14', '161', '24', '29', '3', '267', '67']"
4516505202,1,15,3,1,4,4,0,0,0,0,6.8,17896,51,-470,-187,22.4,1572.2,102,1,4,3,0,0,0,0,7.0,18083,48,24.2,1619.2,"['875', '131', '266', '412', '145', '518', '25', '110', '39', '19']"
4482120064,0,17,1,0,3,3,0,0,0,0,6.8,16974,53,-1996,-1804,20.9,1501.5,18,3,7,13,0,0,0,0,7.2,18778,51,23.7,1701.1,"['412', '79', '157', '145', '114', '245', '201', '105', '41', '21']"
4523758462,1,14,1,1,10,8,0,0,0,0,7.6,20862,56,5228,3378,26.3,1973.3,13,2,2,2,1,1,0,0,6.8,17484,64,21.0,1450.5,"['134', '516', '421', '110', '412', '69', '59', '57', '18', '235']"
4503636905,0,43,3,0,3,3,1,0,1,0,6.8,16888,54,-1975,-1345,20.3,1485.2,17,14,7,6,0,0,0,0,6.8,18233,53,21.8,1682.7,"['420', '81', '20', '350', '131', '40', '266', '145', '91', '35']"
4486384947,1,21,4,1,5,11,0,0,0,0,6.8,17378,49,882,512,21.3,1628.2,19,3,4,3,2,1,1,0,6.6,16866,52,22.8,1540.0,"['121', '223', '427', '235', '245', '81', '27', '68', '497', '64']"
4457103291,0,11,3,0,5,5,0,0,0,0,7.0,17924,48,-3155,-2773,18.8,1499.4,15,1,9,9,0,0,0,0,7.4,20697,56,21.9,1814.9,"['92', '84', '107', '16', '523', '267', '85', '64', '81', '157']"
4472164226,1,14,3,1,11,15,1,1,0,0,7.2,19254,45,2526,1625,21.4,1860.6,12,2,6,4,0,0,0,0,7.0,17629,48,22.5,1608.0,"['99', '20', '238', '115', '157', '21', '8', '875', '33', '117']"
4445294621,0,13,1,0,4,5,0,0,0,0,6.8,16945,43,-2835,-2821,20.3,1587.8,15,3,13,14,1,1,0,0,7.2,19766,45,20.9,1871.3,"['154', '55', '202', '78', '43', '69', '59', '48', '235', '31']"
4480384157,0,17,2,0,4,3,0,0,0,0,7.0,17562,56,-1254,-567,23.8,1577.3,16,3,6,10,1,1,0,0,7.0,18129,60,23.1,1702.7,"['236', '429', '10', '102', '44', '53', '103', '107', '39', '104']"
