blueWins,blueWardsPlaced,blueFirstBlood,blueKills,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueCSPerMin,redKills,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redCSPerMin,bluePredWinrate,redPredWinrate,blueAvgPickrate,redAvgPickrate,blueHas62,redHas62,blueHas111,redHas111,blueHas145,redHas145,blueHas39,redHas39,blueHas517,redHas517,blueMaxLevel,blueMinLevel,blueSTDLevels,redMaxLevel,redMinLevel,redSTDLevels
0,28,1,9,11,0,0,0,6.6,19.5,6,8,0,0,0,6.8,19.7,0.4893943656367017,0.5098585032466947,0.08679016094746432,0.1036137260856362,False,False,True,False,False,False,False,False,False,False,7,5,0.7999999999999999,8,6,0.7483314773547882
0,12,0,5,5,0,0,0,6.6,17.4,5,2,1,1,1,6.8,24.0,0.4927866776077578,0.4927626596454999,0.1242028545399332,0.12159125417552386,False,False,False,False,True,False,False,True,False,False,8,5,1.0198039027185568,8,5,1.16619037896906
0,15,0,7,4,1,0,0,6.4,18.6,11,14,0,0,0,6.8,20.3,0.4897514339398884,0.4985801262557663,0.08660795627087761,0.11268346998684076,False,False,False,False,False,True,False,False,False,False,8,5,1.0198039027185568,8,6,0.9797958971132712
0,43,0,4,5,0,1,0,7.0,20.1,5,10,0,0,0,7.0,23.5,0.5014745992035812,0.5086253330768875,0.16242534669500966,0.1449741876708169,False,False,False,False,False,False,False,False,False,False,8,6,0.6324555320336759,8,6,0.8944271909999159
0,75,0,6,6,0,0,0,7.0,21.0,6,7,1,0,0,7.0,22.5,0.4949710161300136,0.5116318467596483,0.12227958295374028,0.07776090697439011,False,False,False,False,False,False,False,False,False,False,8,5,1.095445115010332,8,6,0.8944271909999159
1,18,0,5,6,1,0,0,7.0,22.5,3,2,0,0,0,7.0,22.1,0.4964956817400104,0.5003719406003688,0.126328575766778,0.15372001214697845,False,False,False,False,False,False,False,False,False,False,8,6,0.8944271909999159,8,5,1.095445115010332
1,18,1,7,7,1,0,0,6.8,22.5,6,9,0,0,0,6.4,16.4,0.5093352386195853,0.5024700558020985,0.08440125518777204,0.07610081992104464,True,False,False,False,False,False,False,False,False,False,8,5,1.16619037896906,8,5,1.0198039027185568
0,16,0,5,3,0,0,0,6.4,20.9,13,11,1,0,0,6.6,15.7,0.4854434865752745,0.5014524555564153,0.15369976718291326,0.10865472213786824,False,False,False,False,False,False,True,False,False,True,9,4,1.624807680927192,8,5,1.0198039027185568
0,16,0,7,8,0,0,0,7.2,18.9,7,5,1,1,0,7.2,24.0,0.5000414216560839,0.5040739650726113,0.0794209940277356,0.11057799372406114,False,False,False,False,False,False,False,False,False,False,8,6,0.7483314773547882,9,6,1.16619037896906
1,13,1,4,5,1,0,0,6.8,22.0,5,4,0,0,0,6.8,24.7,0.4774300437378781,0.508220301963466,0.07865168539325842,0.12270472719910926,False,False,False,False,False,False,False,False,False,False,8,6,0.7483314773547882,8,6,0.9797958971132712
0,20,1,4,6,0,0,0,6.6,23.1,4,5,1,0,0,7.2,21.6,0.5147108517621964,0.5039281905528142,0.06338698248810608,0.19734790970746027,False,False,False,False,False,False,False,False,False,False,8,6,0.8,9,6,0.9797958971132712
0,33,1,11,7,0,1,0,7.0,15.7,11,9,0,0,0,7.0,18.8,0.5058999359854157,0.5018312476343234,0.11219759084927623,0.12418260957586802,False,False,False,False,False,False,False,False,False,True,8,6,0.8944271909999159,8,6,0.8944271909999159
1,18,1,7,11,1,0,0,7.4,23.8,1,1,0,0,0,6.8,24.0,0.4976272401272294,0.4848990879046904,0.13908290312784696,0.09033302965887237,False,False,False,False,False,False,False,False,False,False,9,6,1.0198039027185568,8,6,0.9797958971132712
0,14,0,4,1,0,1,0,6.6,21.0,9,11,0,0,0,7.2,22.9,0.4677815749788152,0.498864058620263,0.054074299018119235,0.06269865370988968,False,False,False,False,False,False,False,False,False,False,8,5,1.0198039027185568,8,6,0.7483314773547882
1,15,1,4,4,0,0,0,6.8,22.4,4,3,0,0,0,7.0,24.2,0.4851629228436341,0.4687330611280511,0.1714950905962142,0.07089786415629111,False,False,False,False,True,False,False,True,False,False,8,5,1.16619037896906,8,6,0.8944271909999159
0,17,0,3,3,0,0,0,6.8,20.9,7,13,0,0,0,7.2,23.7,0.488034123748948,0.4961004670202321,0.14371899989877518,0.11365522826196985,False,False,False,False,True,False,False,False,False,False,8,5,1.16619037896906,8,6,0.7483314773547882
1,14,1,10,8,0,0,0,7.6,26.3,2,2,1,0,0,6.8,21.0,0.5086269401928567,0.509025111860663,0.14705941896953134,0.10606336673752406,False,False,False,False,False,False,False,False,False,False,9,7,0.7999999999999999,8,5,1.4696938456699071
0,43,0,3,3,0,1,0,6.8,20.3,7,6,0,0,0,6.8,21.8,0.5066881343929174,0.4938809880539665,0.10776394371899987,0.10405911529507036,False,False,False,False,False,True,False,False,False,False,8,5,1.16619037896906,8,6,0.7483314773547882
1,21,1,5,11,0,0,0,6.8,21.3,4,3,1,1,0,6.6,22.8,0.4988028414388944,0.5085276511268605,0.10156898471505213,0.13529709484765667,False,False,False,False,False,False,False,False,False,False,8,6,0.7483314773547882,8,5,1.2
0,11,0,5,5,0,0,0,7.0,18.8,9,9,0,0,0,7.4,21.9,0.4855868931824524,0.5028026567585313,0.07873266524951919,0.13918412794817284,False,False,False,False,False,False,False,False,False,False,9,6,1.095445115010332,8,6,0.7999999999999999
