gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalExperience,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redKills,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalExperience,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin,champions,blueChamps,redChamps,bluePredWinrate,redPredWinrate,blueAvgPickrate,redAvgPickrate
4519157822,0,28,2,1,9,11,0,0,0,6.6,17039,36,643,-8,19.5,1721.0,15,6,6,8,0,0,0,6.8,17047,55,19.7,1656.7,"[111, 91, 236, 76, 54, 26, 235, 82, 421, 69]","[111, 91, 236, 76, 54]","[26, 235, 82, 421, 69]",0.4893943656367017,0.5098585032466947,0.08679016094746432,0.1036137260856362
4523371949,0,12,1,0,5,5,0,0,0,6.6,16265,43,-2908,-1173,17.4,1471.2,12,1,5,2,1,1,1,6.8,17438,52,24.0,1762.0,"[4, 350, 75, 145, 875, 110, 59, 53, 134, 39]","[4, 350, 75, 145, 875]","[110, 59, 53, 134, 39]",0.49278667760775774,0.4927626596454999,0.12420285453993321,0.12159125417552383
4521474530,0,15,0,0,7,4,1,0,0,6.4,16221,46,-1172,-1033,18.6,1611.3,15,3,11,14,0,0,0,6.8,17254,28,20.3,1728.5,"[421, 84, 236, 43, 45, 145, 154, 92, 134, 223]","[421, 84, 236, 43, 45]","[145, 154, 92, 134, 223]",0.4897514339398884,0.4985801262557663,0.08660795627087761,0.11268346998684078
4524384067,0,43,1,0,4,5,0,1,0,7.0,17954,55,-1321,-7,20.1,1515.7,15,2,5,10,0,0,0,7.0,17961,47,23.5,1647.8,"[64, 134, 516, 432, 429, 110, 412, 58, 245, 238]","[64, 134, 516, 432, 429]","[110, 412, 58, 245, 238]",0.5014745992035812,0.5086253330768875,0.16242534669500963,0.1449741876708169
4436033771,0,75,4,0,6,6,0,0,0,7.0,18543,57,-1004,230,21.0,1640.0,17,2,6,7,1,0,0,7.0,18313,67,22.5,1740.4,"[101, 266, 245, 143, 21, 51, 86, 69, 235, 32]","[101, 266, 245, 143, 21]","[51, 86, 69, 235, 32]",0.49497101613001354,0.5116318467596483,0.12227958295374027,0.07776090697439011
4475365709,1,18,0,0,5,6,1,0,0,7.0,18161,42,698,101,22.5,1589.9,36,5,3,2,0,0,0,7.0,18060,59,22.1,1520.1,"[18, 121, 69, 875, 350, 134, 432, 21, 56, 429]","[18, 121, 69, 875, 350]","[134, 432, 21, 56, 429]",0.4964956817400104,0.5003719406003688,0.126328575766778,0.15372001214697845
4493010632,1,18,3,1,7,7,1,0,0,6.8,16967,53,2411,1563,22.5,1687.4,57,1,6,9,0,0,0,6.4,15404,35,16.4,1446.3,"[62, 112, 429, 44, 141, 246, 113, 99, 98, 523]","[62, 112, 429, 44, 141]","[246, 113, 99, 98, 523]",0.5093352386195853,0.5024700558020985,0.08440125518777204,0.07610081992104464
4496759358,0,16,2,0,5,3,0,0,0,6.4,16138,48,-2615,-800,20.9,1530.5,15,0,13,11,1,0,0,6.6,16938,54,15.7,1792.0,"[875, 59, 84, 21, 39, 245, 121, 517, 96, 117]","[875, 59, 84, 21, 39]","[245, 121, 517, 96, 117]",0.48544348657527453,0.5014524555564153,0.15369976718291326,0.10865472213786823
4443048030,0,16,3,0,7,8,0,0,0,7.2,18527,61,-1979,-771,18.9,1640.1,15,2,7,5,1,1,0,7.2,19298,53,24.0,1838.0,"[30, 41, 89, 498, 157, 119, 59, 115, 350, 429]","[30, 41, 89, 498, 157]","[119, 59, 115, 350, 429]",0.5000414216560839,0.5040739650726113,0.0794209940277356,0.11057799372406114
4509433346,1,13,1,1,4,5,1,0,0,6.8,16805,39,-1548,-1574,22.0,1505.7,16,2,5,4,0,0,0,6.8,18379,43,24.7,1660.5,"[498, 79, 555, 126, 497, 164, 68, 122, 412, 429]","[498, 79, 555, 126, 497]","[164, 68, 122, 412, 429]",0.47743004373787806,0.508220301963466,0.07865168539325842,0.12270472719910923
